OBJECTID	STATEFP	COUNTYFP	TRACTCE	GEOID	NAMELSAD	MTFCC	FUNCSTAT	ALAND	AWATER	INTPTLAT	INTPTLON	Tract_Name	NAME	SOCIOECON	HSECOMP	MINLANG	HSETRANS	OVERALL
154	72	135	510601	72135510601	Census Tract 5106.01	G5020	S	8162956	726726	18.3366097	-66.2174548	Census Tract 5106.01	Toa Alta	0.0961	0.2262	0.2601	0.819	0.2138
155	72	135	510101	72135510101	Census Tract 5101.01	G5020	S	2806470	0	18.3848873	-66.2057425	Census Tract 5101.01	Toa Alta	0.0554	0.0746	0.2149	0.6447	0.0961
156	72	135	510504	72135510504	Census Tract 5105.04	G5020	S	1283372	0	18.3704464	-66.2049913	Census Tract 5105.04	Toa Alta	0	0.3122	0.095	0.2952	0.0486
157	72	33	20403	72033020403	Census Tract 204.03	G5020	S	1379075	8838	18.4303261	-66.1406093	Census Tract 204.03	Cataño	0.4321	0.9208	0.5113	0.8766	0.8257
158	72	53	150200	72053150200	Census Tract 1502	G5020	S	8446413	666499	18.3440417	-65.6689383	Census Tract 1502	Fajardo	0.5305	0.3042	0.164	0.4513	0.2307
159	72	53	150301	72053150301	Census Tract 1503.01	G5020	S	1716958	0	18.3357191	-65.6511725	Census Tract 1503.01	Fajardo	0.7782	0.9434	0.785	0.923	0.983
160	72	53	150102	72053150102	Census Tract 1501.02	G5020	S	616211	0	18.3465475	-65.6545578	Census Tract 1501.02	Fajardo	0.3371	0.6606	0.25	0.0837	0.1934
161	72	53	150500	72053150500	Census Tract 1505	G5020	S	4196900	1982	18.3185994	-65.6689532	Census Tract 1505	Fajardo	0.9886	0.9423	0.6708	0.621	0.9536
162	72	53	150400	72053150400	Census Tract 1504	G5020	S	2575900	103060	18.3335147	-65.6395441	Census Tract 1504	Fajardo	0.5429	0.897	0.3235	0.8472	0.7669
163	72	25	200600	72025200600	Census Tract 2006	G5020	S	2098607	33864	18.243018	-66.0221353	Census Tract 2006	Caguas	0.4671	0.9762	0.1334	0.6651	0.6176
164	72	25	200700	72025200700	Census Tract 2007	G5020	S	965082	43768	18.235732	-66.0131272	Census Tract 2007	Caguas	0.2138	0.7624	0.1436	0.5497	0.3303
165	72	25	200800	72025200800	Census Tract 2008	G5020	S	1553125	84171	18.2279298	-66.0206094	Census Tract 2008	Caguas	0.4366	0.9468	0.3291	0.2963	0.4988
166	72	97	81300	72097081300	Census Tract 813	G5020	S	1166101	0	18.1889723	-67.1433627	Census Tract 813	Mayagüez	0.5565	0.8201	0.4027	0.6018	0.6843
167	72	25	200304	72025200304	Census Tract 2003.04	G5020	S	8552892	15618	18.2525813	-66.0552472	Census Tract 2003.04	Caguas	0.2319	0.7692	0.1063	0.0124	0.13
168	72	25	201800	72025201800	Census Tract 2018	G5020	S	1250251	50205	18.2185214	-66.0347715	Census Tract 2018	Caguas	0.2409	0.9705	0.2013	0.5509	0.4751
169	72	25	201900	72025201900	Census Tract 2019	G5020	S	319357	0	18.2145581	-66.0384081	Census Tract 2019	Caguas	0.3925	0.6493	0.2952	0.6266	0.4762
170	72	25	202000	72025202000	Census Tract 2020	G5020	S	1100148	0	18.2119813	-66.0458865	Census Tract 2020	Caguas	0.4626	0.9615	0.4547	0.9524	0.8597
171	72	25	202100	72025202100	Census Tract 2021	G5020	S	896669	0	18.2089637	-66.057394	Census Tract 2021	Caguas	0.2364	0.5441	0.4479	0.8348	0.5294
172	72	25	202300	72025202300	Census Tract 2023	G5020	S	731663	0	18.2201625	-66.0558176	Census Tract 2023	Caguas	0.2635	0.8371	0.6764	0.1968	0.483
173	72	25	202500	72025202500	Census Tract 2025	G5020	S	11084376	14378	18.2023911	-66.0464885	Census Tract 2025	Caguas	0.3766	0.7726	0.595	0.9196	0.7907
174	72	25	202602	72025202602	Census Tract 2026.02	G5020	S	10116961	48071	18.1993648	-66.013461	Census Tract 2026.02	Caguas	0.4027	0.5463	0.19	0.3993	0.2658
175	72	25	202800	72025202800	Census Tract 2028	G5020	S	15886610	4692	18.1731711	-66.0770865	Census Tract 2028	Caguas	0.7466	0.6572	0.9185	0.4004	0.8167
176	72	25	200303	72025200303	Census Tract 2003.03	G5020	S	6995088	7825	18.2363235	-66.0683245	Census Tract 2003.03	Caguas	0.0837	0.052	0.1798	0.0791	0.0192
177	72	25	201400	72025201400	Census Tract 2014	G5020	S	412766	0	18.2248728	-66.0517376	Census Tract 2014	Caguas	0.4536	0.9694	0.7963	0.7115	0.8914
178	72	95	951600	72095951600	Census Tract 9516	G5020	S	1719471	510893	17.9997862	-65.8964028	Census Tract 9516	Maunabo	0.8269	0.3054	0.8359	0.3246	0.6481
179	72	95	951500	72095951500	Census Tract 9515	G5020	S	24884868	0	18.0291719	-65.9505561	Census Tract 9515	Maunabo	0.8472	0.2104	0.9966	0.2205	0.6368
180	72	61	40411	72061040411	Census Tract 404.11	G5020	S	1744120	0	18.3877826	-66.1126776	Census Tract 404.11	Guaynabo	0.1764	0.6617	0.0384	0.5961	0.2409
181	72	21	31013	72021031013	Census Tract 310.13	G5020	S	2073312	0	18.3991126	-66.1900049	Census Tract 310.13	Bayamón	0.0203	0.4049	0.3054	0.6029	0.1945
182	72	21	31021	72021031021	Census Tract 310.21	G5020	S	2317582	0	18.4116627	-66.16947	Census Tract 310.21	Bayamón	0.423	0.8404	0.1957	0.1617	0.3065
183	72	21	31023	72021031023	Census Tract 310.23	G5020	S	919949	0	18.3909075	-66.1880778	Census Tract 310.23	Bayamón	0.2183	0.6945	0.3721	0.1063	0.2092
184	72	21	31501	72021031501	Census Tract 315.01	G5020	S	749807	0	18.3895149	-66.1576235	Census Tract 315.01	Bayamón	0.1278	0.4117	0.1119	0.138	0.0599
185	72	21	31502	72021031502	Census Tract 315.02	G5020	S	550327	0	18.3906326	-66.1629258	Census Tract 315.02	Bayamón	0.5056	0.6368	0.4966	0.8246	0.7092
186	72	21	31503	72021031503	Census Tract 315.03	G5020	S	570972	0	18.3841176	-66.1650752	Census Tract 315.03	Bayamón	0.2567	0.9558	0.3574	0.4106	0.4852
187	72	21	31612	72021031612	Census Tract 316.12	G5020	S	992223	0	18.3671054	-66.1554145	Census Tract 316.12	Bayamón	0.6244	0.9411	0.4128	0.4389	0.6957
188	72	21	31611	72021031611	Census Tract 316.11	G5020	S	714276	0	18.3788203	-66.1477112	Census Tract 316.11	Bayamón	0.483	0.5361	0.1357	0.9174	0.5305
189	72	113	72400	72113072400	Census Tract 724	G5020	S	11230766	184996	18.0354046	-66.5598228	Census Tract 724	Ponce	0.5531	0.7058	0.285	0.6866	0.6119
190	72	113	73002	72113073002	Census Tract 730.02	G5020	S	11899489	12646281	18.000247	-66.67799	Census Tract 730.02	Ponce	0.5147	0.0882	0.6866	0.5147	0.3914
191	72	113	71000	72113071000	Census Tract 710	G5020	S	265627	0	18.0124091	-66.6234125	Census Tract 710	Ponce	0.9128	0.9445	0.5701	0.7273	0.94
192	72	113	70300	72113070300	Census Tract 703	G5020	S	574044	10776	18.0203944	-66.6108311	Census Tract 703	Ponce	0.9604	0.5305	0.7047	0.9592	0.9411
193	72	113	72704	72113072704	Census Tract 727.04	G5020	S	12762323	33099	18.0700997	-66.6178064	Census Tract 727.04	Ponce	0.7567	0.3325	0.9694	0.5033	0.7556
194	72	113	73006	72113073006	Census Tract 730.06	G5020	S	1460446	0	17.9901038	-66.6573639	Census Tract 730.06	Ponce	0.6006	0.569	0.7239	0.8257	0.8122
195	72	113	70202	72113070202	Census Tract 702.02	G5020	S	1906497	5229	18.0257894	-66.623784	Census Tract 702.02	Ponce	0.7262	0.4852	0.4807	0.5984	0.6436
196	72	113	72500	72113072500	Census Tract 725	G5020	S	20529734	653999	18.0755114	-66.5635371	Census Tract 725	Ponce	0.0746	0.3065	0.276	0.0995	0.0542
197	72	113	70100	72113070100	Census Tract 701	G5020	S	5183422	806	18.0229368	-66.6389437	Census Tract 701	Ponce	0.3348	0.4502	0.5452	0.7149	0.5226
198	72	113	73001	72113073001	Census Tract 730.01	G5020	S	18863694	3017	18.0719177	-66.6745378	Census Tract 730.01	Ponce	0.6063	0.3518	0.7047	0.6538	0.6561
199	72	113	72300	72113072300	Census Tract 723	G5020	S	29485672	26190987	17.976644	-66.5781683	Census Tract 723	Ponce	0.9027	0.2861	0.9671	0.595	0.8337
200	72	113	72600	72113072600	Census Tract 726	G5020	S	82953920	2736101	18.1262451	-66.6103138	Census Tract 726	Ponce	0.5735	0.6696	0.9954	0.4027	0.7782
201	72	113	72703	72113072703	Census Tract 727.03	G5020	S	16060967	7056	18.0726832	-66.6007586	Census Tract 727.03	Ponce	0.3235	0.0712	0.2669	0.5282	0.1583
202	72	113	73003	72113073003	Census Tract 730.03	G5020	S	5766148	0	18.0204927	-66.6652018	Census Tract 730.03	Ponce	0.4389	0.5938	0.8778	0.4117	0.6572
203	72	113	72900	72113072900	Census Tract 729	G5020	S	21989886	1910	18.0890172	-66.6570896	Census Tract 729	Ponce	0.1414	0.1278	0.3325	0.5361	0.138
204	72	95	951400	72095951400	Census Tract 9514	G5020	S	28212380	3305780	18.0086419	-65.8898001	Census Tract 9514	Maunabo	0.7601	0.0678	0.6323	0.7466	0.5961
205	72	21	31031	72021031031	Census Tract 310.31	G5020	S	1426305	5466	18.4159386	-66.1584672	Census Tract 310.31	Bayamón	0.1719	0.5147	0.2183	0.5723	0.242
206	72	21	31101	72021031101	Census Tract 311.01	G5020	S	1023357	0	18.3726197	-66.1823493	Census Tract 311.01	Bayamón	0.3088	0.5893	0.0576	0.9819	0.4671
207	72	21	31621	72021031621	Census Tract 316.21	G5020	S	552139	0	18.3847902	-66.1486169	Census Tract 316.21	Bayamón	0.3608	0.1131	0.328	0.1923	0.0984
208	72	21	31622	72021031622	Census Tract 316.22	G5020	S	637215	3436	18.3710442	-66.1626667	Census Tract 316.22	Bayamón	0.4807	0.8585	0.4083	0.6696	0.6945
209	72	21	31631	72021031631	Census Tract 316.31	G5020	S	692006	0	18.3867181	-66.153146	Census Tract 316.31	Bayamón	0.1074	0.7285	0.1889	0.1538	0.1549
210	72	113	70400	72113070400	Census Tract 704	G5020	S	322261	0	18.0209646	-66.6029225	Census Tract 704	Ponce	0.9095	0.6199	0.957	0.9423	0.9819
211	72	113	70502	72113070502	Census Tract 705.02	G5020	S	1826387	100993	18.0265373	-66.594058	Census Tract 705.02	Ponce	0.3733	0.5576	0.5904	0.4434	0.4773
212	72	113	70503	72113070503	Census Tract 705.03	G5020	S	1216491	15492	18.0123565	-66.5980592	Census Tract 705.03	Ponce	0.1187	0.2635	0.1187	0.3167	0.0633
213	72	113	70513	72113070513	Census Tract 705.13	G5020	S	1194498	2369	18.0364605	-66.6061849	Census Tract 705.13	Ponce	0.5938	0.5803	0.7398	0.9242	0.8619
214	72	113	70514	72113070514	Census Tract 705.14	G5020	S	567796	33980	18.0250618	-66.6087278	Census Tract 705.14	Ponce	0.1843	0.7183	0.6583	0.1459	0.3495
215	72	113	70522	72113070522	Census Tract 705.22	G5020	S	891615	0	18.0285789	-66.6022276	Census Tract 705.22	Ponce	0.3314	0.7432	0.6244	0.4954	0.5916
216	72	113	70800	72113070800	Census Tract 708	G5020	S	371429	0	18.0163334	-66.6189667	Census Tract 708	Ponce	0.9038	0.9807	0.8846	0.6753	0.9864
217	72	113	70900	72113070900	Census Tract 709	G5020	S	700371	546	18.0156383	-66.6292175	Census Tract 709	Ponce	0.8223	0.3529	0.9106	0.1165	0.595
218	72	113	71200	72113071200	Census Tract 712	G5020	S	1131729	14857	18.0117145	-66.6139797	Census Tract 712	Ponce	0.8857	0.354	0.2601	0.8506	0.6719
219	72	113	73005	72113073005	Census Tract 730.05	G5020	S	1278845	0	18.0172957	-66.6545487	Census Tract 730.05	Ponce	0.1221	0.5723	0.4377	0.035	0.1493
220	72	113	71500	72113071500	Census Tract 715	G5020	S	1098796	0	17.9995282	-66.6259151	Census Tract 715	Ponce	0.3608	0.7273	0.1617	0.3325	0.2828
221	72	7	230200	72007230200	Census Tract 2302	G5020	S	13178806	5271	18.2671736	-66.1173021	Census Tract 2302	Aguas Buenas	0.6176	0.8981	0.4219	0.785	0.8156
222	72	7	230100	72007230100	Census Tract 2301	G5020	S	13139867	5907	18.2690202	-66.0865279	Census Tract 2301	Aguas Buenas	0.8642	0.716	0.5893	0.2477	0.6957
223	72	7	230502	72007230502	Census Tract 2305.02	G5020	S	14935820	0	18.2283086	-66.1106417	Census Tract 2305.02	Aguas Buenas	0.4852	0.6549	0.9253	0.5904	0.7895
224	72	7	230300	72007230300	Census Tract 2303	G5020	S	1738670	1039	18.2524292	-66.1078941	Census Tract 2303	Aguas Buenas	0.6323	0.5101	0.5045	0.1651	0.3959
225	72	7	230501	72007230501	Census Tract 2305.01	G5020	S	8621172	5544	18.2269991	-66.1378003	Census Tract 2305.01	Aguas Buenas	0.8755	0.7839	0.7522	0.2194	0.7771
226	72	7	230400	72007230400	Census Tract 2304	G5020	S	26305156	10622	18.2574111	-66.1608237	Census Tract 2304	Aguas Buenas	0.8257	0.6821	0.449	0.4581	0.6923
227	72	21	31306	72021031306	Census Tract 313.06	G5020	S	1900219	810	18.3598004	-66.1849076	Census Tract 313.06	Bayamón	0.2228	0.75	0.2285	0.664	0.4242
228	72	17	590400	72017590400	Census Tract 5904	G5020	S	16359354	2843	18.4191892	-66.5679072	Census Tract 5904	Barceloneta	0.4683	0.2443	0.4581	0.0316	0.1628
229	72	17	590100	72017590100	Census Tract 5901	G5020	S	19722636	4102154	18.4699891	-66.5582299	Census Tract 5901	Barceloneta	0.3133	0.5113	0.5927	0.6843	0.5452
230	72	17	590300	72017590300	Census Tract 5903	G5020	S	9921235	0	18.4411615	-66.5626275	Census Tract 5903	Barceloneta	0.5814	0.3337	0.6764	0.2352	0.4015
231	72	17	590200	72017590200	Census Tract 5902	G5020	S	2418673	0	18.4526782	-66.5379341	Census Tract 5902	Barceloneta	0.8981	0.9977	0.828	0.3981	0.9332
232	72	121	960600	72121960600	Census Tract 9606	G5020	S	1952127	399	18.0871014	-66.9533768	Census Tract 9606	Sabana Grande	0.2997	0.9106	0.4796	0.173	0.4208
233	72	121	960500	72121960500	Census Tract 9605	G5020	S	593397	0	18.0763522	-66.9610891	Census Tract 9605	Sabana Grande	0.9524	0.9683	0.7036	0.8993	0.9943
234	72	135	510503	72135510503	Census Tract 5105.03	G5020	S	2345833	0	18.3519096	-66.2088642	Census Tract 5105.03	Toa Alta	0.0452	0.3382	0.1312	0.6606	0.1538
235	72	109	290200	72109290200	Census Tract 2902	G5020	S	16192172	551692	18.0329711	-65.9977737	Census Tract 2902	Patillas	0.5848	0.0961	0.9558	0.2047	0.4083
236	72	109	290400	72109290400	Census Tract 2904	G5020	S	30203769	11315108	17.9898833	-65.9553461	Census Tract 2904	Patillas	0.8371	0.1719	0.6809	0.6074	0.6493
237	72	109	290100	72109290100	Census Tract 2901	G5020	S	63381696	767387	18.0686586	-66.0289225	Census Tract 2901	Patillas	0.7058	0.1425	0.8846	0.1052	0.4072
238	72	109	290300	72109290300	Census Tract 2903	G5020	S	10918015	4824283	17.9864645	-65.9960776	Census Tract 2903	Patillas	0.4705	0.1481	0.7918	0.276	0.3371
239	72	21	32301	72021032301	Census Tract 323.01	G5020	S	1898296	0	18.3334378	-66.196738	Census Tract 323.01	Bayamón	0.0497	0.4083	0.3608	0.2443	0.1153
240	72	127	506	72127000506	Census Tract 5.06	G5020	S	392669	114024	18.4656393	-66.1176498	Census Tract 5.06	San Juan	0.0859	0.0067	0.0045	0.8518	0.0916
241	72	35	260400	72035260400	Census Tract 2604	G5020	S	25416906	3837	18.111693	-66.2028757	Census Tract 2604	Cayey	0.4117	0.5859	0.8144	0.3891	0.5927
242	72	35	260600	72035260600	Census Tract 2606	G5020	S	869407	136	18.1073044	-66.1661091	Census Tract 2606	Cayey	0.7647	0.9988	0.9852	0.9762	0.9988
243	72	35	260300	72035260300	Census Tract 2603	G5020	S	4573516	943	18.1350776	-66.1795034	Census Tract 2603	Cayey	0.69	0.9581	0.8404	0.0667	0.75
244	72	35	260800	72035260800	Census Tract 2608	G5020	S	1290684	0	18.1168116	-66.150335	Census Tract 2608	Cayey	0.2273	0.6843	0.6481	0.2941	0.4162
245	72	35	260202	72035260202	Census Tract 2602.02	G5020	S	5005575	15082	18.127366	-66.1576979	Census Tract 2602.02	Cayey	0.2454	0.5678	0.6334	0.371	0.3981
246	72	35	260100	72035260100	Census Tract 2601	G5020	S	34335728	20653	18.1225896	-66.0914269	Census Tract 2601	Cayey	0.199	0.8484	0.3371	0.802	0.5859
247	72	35	260201	72035260201	Census Tract 2602.01	G5020	S	2856521	19827	18.143083	-66.1593823	Census Tract 2602.01	Cayey	0.1334	0.268	0.4773	0.4072	0.1855
248	72	35	260500	72035260500	Census Tract 2605	G5020	S	2050995	381	18.1119643	-66.1749925	Census Tract 2605	Cayey	0.7375	0.9898	0.4117	0.7205	0.8687
249	72	31	980003	72031980003	Census Tract 9800.03	G5020	S	5816347	1016678	18.4383594	-65.9991694	Census Tract 9800.03	Cataño	0.5418	0.768	0.6357	0.8076	0.8382
250	72	21	32302	72021032302	Census Tract 323.02	G5020	S	4209424	634	18.3217985	-66.1888478	Census Tract 323.02	Bayamón	0.2285	0.2929	0.5497	0.6674	0.3676
251	72	137	120500	72137120500	Census Tract 1205	G5020	S	253453	10308	18.4503378	-66.186954	Census Tract 1205	Toa Baja	0.138	0.2941	0.0825	0.0214	0.0271
252	72	137	120600	72137120600	Census Tract 1206	G5020	S	636015	0	18.4459026	-66.1808382	Census Tract 1206	Toa Baja	0.1696	0.3506	0.1674	0.0045	0.0463
253	72	137	120700	72137120700	Census Tract 1207	G5020	S	244685	0	18.4431334	-66.1748232	Census Tract 1207	Toa Baja	0.0486	0.0735	0.388	0.397	0.0837
254	72	137	120900	72137120900	Census Tract 1209	G5020	S	640051	0	18.4349216	-66.1725365	Census Tract 1209	Toa Baja	0.0158	0.1074	0.2104	0.0033	0.0101
255	72	137	120400	72137120400	Census Tract 1204	G5020	S	1320109	1730528	18.4613013	-66.1859103	Census Tract 1204	Toa Baja	0.3212	0.6085	0.3031	0.4049	0.3133
256	72	93	960200	72093960200	Census Tract 9602	G5020	S	10379872	0	18.1921869	-66.980897	Census Tract 9602	Maricao	0.4841	0.1165	0.8099	0.9841	0.6889
257	72	93	960100	72093960100	Census Tract 9601	G5020	S	84471915	12487	18.1739559	-66.9355468	Census Tract 9601	Maricao	0.6821	0.1866	0.9943	0.3438	0.5961
258	72	99	420402	72099420402	Census Tract 4204.02	G5020	S	23451477	0	18.3333109	-67.0649392	Census Tract 4204.02	Moca	0.6595	0.3088	0.7658	0.1957	0.457
259	72	99	420401	72099420401	Census Tract 4204.01	G5020	S	6088846	0	18.3652295	-67.0563135	Census Tract 4204.01	Moca	0.6165	0.3733	0.6165	0.2918	0.44
260	72	87	110304	72087110304	Census Tract 1103.04	G5020	S	769443	0	18.3832138	-65.868788	Census Tract 1103.04	Loíza	0.121	0.1821	0.4886	0.2635	0.1119
261	72	87	110500	72087110500	Census Tract 1105	G5020	S	827749	361609	18.4330874	-65.8808774	Census Tract 1105	Loíza	0.4072	0.3778	0.9151	0.2986	0.4932
262	72	137	122400	72137122400	Census Tract 1224	G5020	S	8900598	116139	18.4313082	-66.2475595	Census Tract 1224	Toa Baja	0.3993	0.6742	0.1425	0.7624	0.4841
263	72	137	120200	72137120200	Census Tract 1202	G5020	S	2164960	3287762	18.4700495	-66.1366743	Census Tract 1202	Toa Baja	0.1357	0.2624	0.2364	0.5916	0.1708
264	72	137	120300	72137120300	Census Tract 1203	G5020	S	585129	174567	18.4531671	-66.1816182	Census Tract 1203	Toa Baja	0.2748	0.4185	0.3653	0.3371	0.2115
265	72	137	121801	72137121801	Census Tract 1218.01	G5020	S	3728023	5814	18.4197112	-66.2152524	Census Tract 1218.01	Toa Baja	0.5972	0.3133	0.8812	0.6979	0.7171
266	72	35	260700	72035260700	Census Tract 2607	G5020	S	511883	0	18.1119961	-66.1593249	Census Tract 2607	Cayey	0.6153	0.8812	0.6843	0.1979	0.6821
267	72	71	410401	72071410401	Census Tract 4104.01	G5020	S	10194848	1805214	18.5070215	-67.0719217	Census Tract 4104.01	Isabela	0.6787	0.5542	0.3088	0.5927	0.5565
268	72	71	410500	72071410500	Census Tract 4105	G5020	S	6836440	3742	18.4851604	-67.013619	Census Tract 4105	Isabela	0.2929	0.6866	0.0984	0.6843	0.3744
269	72	71	410100	72071410100	Census Tract 4101	G5020	S	20457762	2601015	18.4809283	-66.9818307	Census Tract 4101	Isabela	0.7386	0.3676	0.397	0.5418	0.5214
270	72	71	410600	72071410600	Census Tract 4106	G5020	S	48243963	97368	18.4103842	-66.9746276	Census Tract 4106	Isabela	0.3914	0.1391	0.8201	0.2511	0.2941
271	72	71	410701	72071410701	Census Tract 4107.01	G5020	S	4765352	756	18.46063	-67.0416498	Census Tract 4107.01	Isabela	0.9717	0.8054	0.4343	0.3461	0.7511
272	72	71	410702	72071410702	Census Tract 4107.02	G5020	S	33103446	3949	18.4294319	-67.0176981	Census Tract 4107.02	Isabela	0.8144	0.6832	0.6425	0.5599	0.8065
273	72	71	410200	72071410200	Census Tract 4102	G5020	S	2253424	1224	18.5016675	-67.0131526	Census Tract 4102	Isabela	0.5644	0.4943	0.8054	0.6968	0.7545
274	72	71	410300	72071410300	Census Tract 4103	G5020	S	2630227	890544	18.5086519	-67.0360125	Census Tract 4103	Isabela	0.7477	0.6447	0.1402	0.5995	0.5554
275	72	71	410402	72071410402	Census Tract 4104.02	G5020	S	14770380	14544	18.4856437	-67.0497649	Census Tract 4104.02	Isabela	0.5803	0.7533	0.4875	0.3269	0.5678
276	72	11	810600	72011810600	Census Tract 8106	G5020	S	14348694	312381	18.2960316	-67.1696642	Census Tract 8106	Añasco	0.4502	0.1097	0.2002	0.0407	0.061
277	72	11	810500	72011810500	Census Tract 8105	G5020	S	11832779	109697	18.2955812	-67.1459685	Census Tract 8105	Añasco	0.2794	0.5	0.4196	0.5316	0.3642
278	72	11	810100	72011810100	Census Tract 8101	G5020	S	44287963	446775	18.2867094	-67.0795584	Census Tract 8101	Añasco	0.7669	0.4536	0.4389	0.233	0.4377
279	72	11	810200	72011810200	Census Tract 8102	G5020	S	20524229	105470	18.2793283	-67.1198383	Census Tract 8102	Añasco	0.2488	0.3925	0.138	0.052	0.0678
280	72	11	810700	72011810700	Census Tract 8107	G5020	S	9339984	3396348	18.2945979	-67.1994831	Census Tract 8107	Añasco	0.9049	0.7737	0.5475	0.7918	0.9083
281	72	75	710200	72075710200	Census Tract 7102	G5020	S	15249934	459707	18.0810408	-66.4731108	Census Tract 7102	Juana Díaz	0.7341	0.6538	0.9886	0.4626	0.8631
282	72	31	50107	72031050107	Census Tract 501.07	G5020	S	184903	94149	18.4457814	-66.0319611	Census Tract 501.07	Carolina	0.0045	0.121	0.0067	0.5226	0.0395
283	72	31	50111	72031050111	Census Tract 501.11	G5020	S	458583	289851	18.4439436	-66.0146214	Census Tract 501.11	Carolina	0.0509	0.0565	0.0147	0.1911	0.0067
284	72	31	51104	72031051104	Census Tract 511.04	G5020	S	2661735	79201	18.3815143	-65.924269	Census Tract 511.04	Carolina	0.0113	0.4864	0.1685	0.4705	0.1368
285	72	31	51002	72031051002	Census Tract 510.02	G5020	S	10090350	754	18.3245778	-65.9299715	Census Tract 510.02	Carolina	0.4864	0.9185	0.6538	0.2771	0.6651
286	72	31	51001	72031051001	Census Tract 510.01	G5020	S	14024037	20937	18.2974772	-65.9250067	Census Tract 510.01	Carolina	0.2398	0.7409	0.4389	0.2115	0.3122
287	72	31	51103	72031051103	Census Tract 511.03	G5020	S	3163785	0	18.3617875	-65.9218604	Census Tract 511.03	Carolina	0.1945	0.233	0.1809	0.5135	0.1323
288	72	31	50106	72031050106	Census Tract 501.06	G5020	S	218662	64819	18.4432652	-66.0202837	Census Tract 501.06	Carolina	0.0226	0.0972	0.0056	0.4604	0.0339
289	72	59	740101	72059740101	Census Tract 7401.01	G5020	S	31665161	4701	18.0985483	-66.7799883	Census Tract 7401.01	Guayanilla	0.8552	0.6052	0.7828	0.0441	0.6425
290	72	59	740200	72059740200	Census Tract 7402	G5020	S	22131991	777	18.022865	-66.7628423	Census Tract 7402	Guayanilla	0.3484	0.4762	0.4072	0.414	0.3156
291	72	59	740300	72059740300	Census Tract 7403	G5020	S	1733242	478	18.0228429	-66.7911559	Census Tract 7403	Guayanilla	0.6855	0.561	0.716	0.8156	0.845
292	72	59	740102	72059740102	Census Tract 7401.02	G5020	S	14115013	2620	18.0557671	-66.8036183	Census Tract 7401.02	Guayanilla	0.4819	0.1685	0.8246	0.0305	0.25
293	72	59	740400	72059740400	Census Tract 7404	G5020	S	39834978	10482871	17.9909259	-66.8021024	Census Tract 7404	Guayanilla	0.7319	0.6595	0.7239	0.5045	0.7726
294	72	75	710600	72075710600	Census Tract 7106	G5020	S	1635572	11508	18.056616	-66.5085817	Census Tract 7106	Juana Díaz	0.7364	0.6074	0.6708	0.3552	0.6787
295	72	75	710901	72075710901	Census Tract 7109.01	G5020	S	6602755	35342	18.031404	-66.5236569	Census Tract 7109.01	Juana Díaz	0.4954	0.466	0.8201	0.3122	0.5407
296	72	21	30300	72021030300	Census Tract 303	G5020	S	2053832	45164	18.3986268	-66.1524899	Census Tract 303	Bayamón	0.4434	0.6312	0.3461	0.8359	0.6233
297	72	21	30901	72021030901	Census Tract 309.01	G5020	S	617977	0	18.3974576	-66.1707142	Census Tract 309.01	Bayamón	0.1131	0.8902	0.0203	0.8981	0.4513
298	72	21	31005	72021031005	Census Tract 310.05	G5020	S	750502	0	18.4023718	-66.1640569	Census Tract 310.05	Bayamón	0.8484	0.9739	0.6221	0.9604	0.9785
299	72	21	30902	72021030902	Census Tract 309.02	G5020	S	788123	0	18.3966365	-66.1783882	Census Tract 309.02	Bayamón	0.0871	0.8834	0.268	0.7635	0.4954
300	72	21	30904	72021030904	Census Tract 309.04	G5020	S	514210	0	18.388742	-66.1769923	Census Tract 309.04	Bayamón	0.1606	0.4796	0.3337	0.061	0.1085
301	72	21	31004	72021031004	Census Tract 310.04	G5020	S	719044	0	18.4041124	-66.1726493	Census Tract 310.04	Bayamón	0.242	0.9502	0.104	0.216	0.2522
302	72	21	31011	72021031011	Census Tract 310.11	G5020	S	1127243	0	18.4222928	-66.1678521	Census Tract 310.11	Bayamón	0.0237	0.2115	0.0712	0	0.0056
303	72	41	240102	72041240102	Census Tract 2401.02	G5020	S	3469523	0	18.1791058	-66.1118624	Census Tract 2401.02	Cidra	0.4468	0.4174	0.4513	0.2104	0.259
304	72	63	210202	72063210202	Census Tract 2102.02	G5020	S	11320953	50662	18.266571	-65.9525925	Census Tract 2102.02	Gurabo	0.4083	0.8755	0.4423	0.0656	0.3846
305	72	41	240101	72041240101	Census Tract 2401.01	G5020	S	8348391	529823	18.1912474	-66.1238046	Census Tract 2401.01	Cidra	0.3438	0.4615	0.302	0.1515	0.1776
306	72	63	210504	72063210504	Census Tract 2105.04	G5020	S	14315159	6894	18.2359151	-65.9755233	Census Tract 2105.04	Gurabo	0.5904	0.5407	0.1583	0.7364	0.5113
307	72	63	210201	72063210201	Census Tract 2102.01	G5020	S	9339809	148413	18.2725815	-65.9811768	Census Tract 2102.01	Gurabo	0.2737	0.44	0.0995	0.0984	0.0848
308	72	147	950600	72147950600	Census Tract 9506	G5020	S	64460013	30513573	18.1375816	-65.3793319	Census Tract 9506	Vieques	0.6323	0.2013	0.2805	0.7454	0.4185
309	72	147	950500	72147950500	Census Tract 9505	G5020	S	67081382	26496790	18.1129263	-65.4974367	Census Tract 9505	Culebra	0.3178	0.1877	0.078	0.966	0.2737
